n,time_f1,time_f2,time_f3,time_f4
1570,0.000006,0.000031,0.000103,0.002274,0.000148
1580,0.000006,0.000036,0.000105,0.002303,0.000149
1590,0.000006,0.000032,0.000105,0.002337,0.000148
1600,0.000007,0.000032,0.000106,0.002362,0.000150
1610,0.000011,0.000032,0.000106,0.002392,0.000153
1620,0.000006,0.000033,0.000107,0.002427,0.000152
1630,0.000007,0.000032,0.000107,0.002458,0.000152
1640,0.000006,0.000032,0.000108,0.002481,0.000158
1650,0.000007,0.000033,0.000109,0.002509,0.000157
1660,0.000007,0.000033,0.000109,0.002541,0.000156
1670,0.000007,0.000033,0.000115,0.002575,0.000159
1680,0.000006,0.000034,0.000115,0.002602,0.000159
1690,0.000006,0.000033,0.000112,0.002636,0.000160
1700,0.000007,0.000034,0.000112,0.002669,0.000160
1710,0.000006,0.000034,0.000113,0.002700,0.000161
1720,0.000006,0.000034,0.000119,0.002726,0.000163
1730,0.000010,0.000035,0.000115,0.002757,0.000170
1740,0.000007,0.000035,0.000115,0.002797,0.000163
1750,0.000007,0.000035,0.000116,0.002824,0.000166
1760,0.000007,0.000035,0.000117,0.002859,0.000167
1770,0.000007,0.000035,0.000117,0.002889,0.000167
1780,0.000007,0.000039,0.000118,0.002923,0.000168
1790,0.000006,0.000035,0.000118,0.002954,0.000168
1800,0.000006,0.000036,0.000119,0.002987,0.000170
1810,0.000010,0.000036,0.000119,0.003021,0.000171
1820,0.000007,0.000036,0.000120,0.003056,0.000173
1830,0.000007,0.000037,0.000125,0.003087,0.000175
1840,0.000007,0.000037,0.000122,0.003119,0.000174
1850,0.000007,0.000037,0.000122,0.003159,0.000177
1860,0.000007,0.000037,0.000123,0.003186,0.000178
1870,0.000007,0.000041,0.000124,0.003223,0.000177
1880,0.000007,0.000037,0.000124,0.003268,0.000178
1890,0.000007,0.000038,0.000125,0.003302,0.000179
1900,0.000010,0.000037,0.000125,0.003327,0.000180
1910,0.000007,0.000038,0.000126,0.003375,0.000182
1920,0.000007,0.000038,0.000127,0.003401,0.000184
1930,0.000007,0.000039,0.000128,0.003435,0.000190
1940,0.000007,0.000039,0.000128,0.003474,0.000183
1950,0.000008,0.000039,0.000129,0.003503,0.000186
1960,0.000007,0.000055,0.000130,0.003545,0.000192
1970,0.000008,0.000043,0.000130,0.003576,0.000186
1980,0.000007,0.000039,0.000137,0.003613,0.000190
1990,0.000008,0.000044,0.000132,0.003657,0.000193
2000,0.000008,0.000040,0.000132,0.003683,0.000195
2010,0.000008,0.000040,0.000133,0.003725,0.000190
2020,0.000008,0.000040,0.000133,0.003766,0.000192
2030,0.000008,0.000041,0.000134,0.003800,0.000194
2040,0.000008,0.000041,0.000135,0.003836,0.000195
2050,0.000007,0.000041,0.000135,0.003873,0.000195
2060,0.000008,0.000041,0.000136,0.003910,0.000196
2070,0.000008,0.000041,0.000136,0.003946,0.000203
2080,0.000008,0.000041,0.000137,0.003984,0.000201
2090,0.000008,0.000042,0.000138,0.004026,0.000201
2100,0.000008,0.000046,0.000139,0.004060,0.000203
2110,0.000008,0.000042,0.000140,0.004101,0.000203
2120,0.000008,0.000042,0.000140,0.004141,0.000205
2130,0.000008,0.000042,0.000141,0.004178,0.000221
2140,0.000008,0.000043,0.000141,0.004216,0.000206
2150,0.000008,0.000043,0.000146,0.004257,0.000208
2160,0.000008,0.000043,0.000142,0.004298,0.000208
2170,0.000009,0.000043,0.000144,0.004333,0.000213
2180,0.000008,0.000044,0.000144,0.004375,0.000211
2190,0.000009,0.000044,0.000144,0.004417,0.000214
2200,0.000009,0.000044,0.000150,0.004454,0.000215
2210,0.000009,0.000044,0.000150,0.004496,0.000215
2220,0.000008,0.000044,0.000150,0.004537,0.000215
2230,0.000009,0.000044,0.000153,0.004585,0.000218
2240,0.000009,0.000044,0.000152,0.004613,0.000216
2250,0.000012,0.000045,0.000148,0.004657,0.000223
2260,0.000008,0.000045,0.000149,0.004702,0.000218
2270,0.000009,0.000045,0.000149,0.004745,0.000218
2280,0.000009,0.000045,0.000150,0.004788,0.000220
2290,0.000009,0.000046,0.000155,0.004824,0.000227
2300,0.000009,0.000046,0.000152,0.004874,0.000223
2310,0.000008,0.000046,0.000152,0.004915,0.000224
2320,0.000009,0.000046,0.000156,0.004953,0.000226
2330,0.000009,0.000047,0.000154,0.004993,0.000227
2340,0.000009,0.000047,0.000160,0.005040,0.000228
2350,0.000009,0.000047,0.000155,0.005081,0.000230
2360,0.000009,0.000052,0.000156,0.005122,0.000232
2370,0.000009,0.000047,0.000156,0.005210,0.000235
2380,0.000010,0.000047,0.000157,0.005220,0.000237
2390,0.000009,0.000048,0.000158,0.005257,0.000232
2400,0.000009,0.000048,0.000162,0.005301,0.000233
2410,0.000009,0.000048,0.000159,0.005347,0.000234
2420,0.000009,0.000049,0.000160,0.005393,0.000236
2430,0.000009,0.000049,0.000160,0.005436,0.000238
2440,0.000010,0.000049,0.000161,0.005482,0.000239
2450,0.000009,0.000049,0.000162,0.005528,0.000241
2460,0.000009,0.000049,0.000163,0.005579,0.000238
2470,0.000009,0.000049,0.000163,0.005627,0.000238
2480,0.000009,0.000049,0.000168,0.005663,0.000241
2490,0.000009,0.000054,0.000164,0.005696,0.000245
2500,0.000010,0.000050,0.000165,0.005755,0.000242
2510,0.000010,0.000050,0.000166,0.005794,0.000242
2520,0.000010,0.000050,0.000177,0.005835,0.000250
2530,0.000009,0.000051,0.000167,0.005886,0.000245
2540,0.000010,0.000051,0.000168,0.005933,0.000253
2550,0.000009,0.000050,0.000169,0.005979,0.000247
2560,0.000010,0.000051,0.000169,0.006027,0.000254
2570,0.000010,0.000051,0.000170,0.006072,0.000249
2580,0.000010,0.000052,0.000175,0.006123,0.000251
2590,0.000010,0.000052,0.000171,0.006166,0.000257
2600,0.000010,0.000052,0.000172,0.006215,0.000254
2610,0.000010,0.000052,0.000173,0.006269,0.000257
2620,0.000010,0.000052,0.000176,0.006309,0.000257
2630,0.000010,0.000052,0.000174,0.006370,0.000259
2640,0.000009,0.000052,0.000174,0.006414,0.000260
2650,0.000010,0.000053,0.000175,0.006463,0.000260
2660,0.000010,0.000052,0.000175,0.006513,0.000262
2670,0.000010,0.000053,0.000180,0.006565,0.000263
2680,0.000010,0.000054,0.000179,0.006601,0.000268
2690,0.000010,0.000053,0.000178,0.006651,0.000270
2700,0.000010,0.000053,0.000178,0.006705,0.000268
2710,0.000011,0.000054,0.000179,0.006756,0.000269
2720,0.000010,0.000057,0.000177,0.006803,0.000270
2730,0.000011,0.000054,0.000180,0.006851,0.000267
2740,0.000010,0.000055,0.000185,0.006903,0.000277
2750,0.000011,0.000055,0.000181,0.006952,0.000269
2760,0.000010,0.000054,0.000186,0.007002,0.000272
2770,0.000011,0.000055,0.000183,0.007050,0.000274
2780,0.000011,0.000055,0.000183,0.007103,0.000274
2790,0.000011,0.000056,0.000187,0.007153,0.000277
2800,0.000010,0.000055,0.000185,0.007204,0.000280
2810,0.000010,0.000055,0.000185,0.007258,0.000298
2820,0.000011,0.000056,0.000185,0.007313,0.000283
2830,0.000011,0.000056,0.000187,0.007364,0.000285
2840,0.000011,0.000056,0.000187,0.007414,0.000288
2850,0.000011,0.000057,0.000188,0.007466,0.000287
2860,0.000011,0.000057,0.000189,0.007518,0.000284
2870,0.000010,0.000057,0.000189,0.007571,0.000286
2880,0.000011,0.000057,0.000190,0.007623,0.000285
2890,0.000011,0.000057,0.000194,0.007672,0.000290
2900,0.000011,0.000058,0.000191,0.007747,0.000288
2910,0.000010,0.000058,0.000192,0.007780,0.000288
2920,0.000011,0.000058,0.000197,0.007828,0.000296
2930,0.000011,0.000059,0.000193,0.007891,0.000290
2940,0.000011,0.000058,0.000197,0.007941,0.000290
2950,0.000011,0.000058,0.000194,0.007998,0.000292
2960,0.000012,0.000059,0.000195,0.008048,0.000293
2970,0.000011,0.000059,0.000201,0.008106,0.000294
2980,0.000011,0.000059,0.000197,0.008160,0.000300
2990,0.000011,0.000059,0.000197,0.008213,0.000298
3000,0.000011,0.000059,0.000197,0.008265,0.000297
3010,0.000011,0.000060,0.000199,0.008331,0.000299
3020,0.000012,0.000060,0.000199,0.008378,0.000300
3030,0.000011,0.000060,0.000200,0.008434,0.000307
3040,0.000012,0.000060,0.000200,0.008488,0.000304
3050,0.000011,0.000060,0.000201,0.008548,0.000303
3060,0.000011,0.000060,0.000201,0.008602,0.000302
3070,0.000012,0.000061,0.000205,0.008656,0.000307
3080,0.000011,0.000061,0.000203,0.008721,0.000307
3090,0.000012,0.000062,0.000204,0.008771,0.000309
3100,0.000011,0.000061,0.000208,0.008837,0.000310
3110,0.000012,0.000062,0.000206,0.008886,0.000309
3120,0.000012,0.000066,0.000206,0.008943,0.000311
3130,0.000012,0.000062,0.000206,0.008999,0.000317
